name;id;calories;proteins;fat;carbohydrate;serat;kalsium;fosfor;zat_besi;natrium;kalium;tembaga;seng;vitamin_a;provitamin_a;total_karotenoid;vitamin_b1;vitamin_b2;vitamin_b3;vitamin_c;bdd;url_image;indeks_glikemik;referensi_ig;status_pencocokan_ig;klasifikasi_ig
Abon;1;280;9.2;28.4;0;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://img-cdn.medkomtek.com/PbrY9X3ignQ8sVuj_LU9UXljyew=/0x0/smart/filters:quality(75):strip_icc():format(webp)/article/7g8ceHGDNMuttlBcXEl8d/original/099726800_1605161502-Mana-yang-Lebih-Sehat-Abon-Sapi-atau-Abon-Ayam-shutterstock_1361446550.jpg;0;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tidak signifikan (non-karbohidrat)
Abon haruwan;2;513;23.7;37;21.3;0;25;25;0.5;61;15;0;0.2;0;0;0;0;0;0;0;100;https://img-global.cpcdn.com/recipes/cbf330fbd1ba6316/1200x630cq70/photo.jpg;0;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tidak signifikan (non-karbohidrat)
Agar-agar;3;0;0;0.2;0;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://res.cloudinary.com/dk0z4ums3/image/upload/v1644389489/attached_image/manfaat-agar-agar-untuk-tubuh.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Akar tonjong segar;4;45;1.1;0.4;10.8;1.2;72;125;1.3;96;775;0.02;0.2;0;60;90;0.02;0.03;1.9;2;100;https://images.tokopedia.net/img/cache/200-square/product-1/2018/8/11/3052608/3052608_12e6762a-1a95-450b-8a7c-347a26dc3201_450_450.jpg;59;Amalia et al. (2011) dalam Arif et al. (2013);token(akar)→jagung bakar;Sedang
Aletoge segar;5;37;4.4;0.5;3.8;1.7;50;248;2;2;105;0.16;0.4;0;0;35;0.02;0.09;0.6;12.5;90;https://nilaigizi.com/assets/images/produk/produk_1577340236.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Alpukat segar;6;85;0.9;6.5;7.7;0;10;20;0.9;2;278;0.2;0.4;0;60;180;0.05;0.08;1;12.5;61;https://katakabar.com/assets/images/upload/news/medium_news_1594438184.jpeg;15;Waspadji et al. (2003);partial→alpukat;Rendah
Ampas kacang hijau;7;96;3.7;0.6;19.1;2.7;133;150;1.3;0;0;0;0;0;0;0;0.05;0;0;0;100;https://images.tokopedia.net/img/cache/215-square/shops-1/2016/10/16/5997149/5997149_fb399db6-c767-4ef0-ba2b-d25bc046859e.jpg;25;"Marsono (2002); Atkinson et al. (2008)";partial→kacang hijau;Rendah
Ampas Tahu;8;414;26.6;18.3;41.3;2.4;133;220;4;6;69.2;0.27;1.2;0;0;0;0.18;0.07;0.7;0;100;https://palpres.disway.id/upload/9e9c1ba592cac7270de5e48889a33523.jpeg;15;"Waspadji et al. (2003); Atkinson et al. (2008)";partial→tahu;Rendah
Ampas tahu kukus;9;75;4.1;2.1;10.7;5.1;203;60;1.3;0;0;0;0;0;0;0;0.07;0;0;0;100;https://cdns.diadona.id/diadona.id/resized/640x320/news/2020/02/26/5346/manfaat-ampas-tahu-yang-nggak-boleh-disepelekan-orang-jepang-aja-doyan-masa-kamu-ogah-ogahan-200226f.jpg;15;"Waspadji et al. (2003); Atkinson et al. (2008)";partial→tahu;Rendah
Ampas tahu mentah;10;67;5;2.1;8.1;4.1;337.5;88;1;8;184.5;0.17;0.5;0;0;0;0.06;0.02;0.1;0;100;https://cdn-image.hipwee.com/wp-content/uploads/2021/03/hipwee-FotoJet-9-750x422.jpg;15;"Waspadji et al. (2003); Atkinson et al. (2008)";partial→tahu;Rendah
Anak sapi daging gemuk segar;11;184;18.8;14;0;0;10;200;2.2;118;490.1;0.17;2.5;0;37;0;0.13;0.17;3.5;0;100;https://png.pngtree.com/png-clipart/20220124/ourmid/pngtree-a-plate-of-delicious-fat-cow-free-elements-png-image_4252411.png;56;Widowati et al. (2007) dalam Arif et al. (2013);token(anak)→beras pratanak;Sedang
Anak sapi daging kurus segar;12;174;19.6;10;0;0;11;201;2.9;96;399.8;0.14;2.5;0;30;0;0.08;0.14;3.5;0;100;https://asset.kompas.com/crops/BzqLdMzV0nYuuT_-vqxhGoDU0ag=/0x0:1000x667/780x390/data/photo/2020/11/28/5fc241d817d91.jpg;56;Widowati et al. (2007) dalam Arif et al. (2013);token(anak)→beras pratanak;Sedang
Anak sapi daging sedang segar;13;190;19.1;12;0;0;11;193;2.9;99;412.7;0.14;2.5;0;60;0;0.14;0.15;3.5;0;100;https://koran-jakarta.com/images/article/tips-memilih-daging-sapi-segar-dan-berkualitas-baik-untuk-dikonsumsi-210409135933.jpg;56;Widowati et al. (2007) dalam Arif et al. (2013);token(anak)→beras pratanak;Sedang
Andaliman segar;14;99;4.6;1;18;6.75;337.5;107;2.9;0;0;0;0;0;0;278.75;0.555;0;0;12.5;100;https://cf.shopee.co.id/file/3c033b2480e951e2634909817e417218;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
